10.3029	Seq: 1	ACK: 387001	time: 10285	echo: 10204 -> SACK List: 465001 to 478501; 433501 to 463501; 402001 to 432001; 
10.3034	Seq: 1	ACK: 387001	time: 10286	echo: 10204 -> SACK List: 465001 to 480001; 433501 to 463501; 402001 to 432001; 
10.304	Seq: 1	ACK: 387001	time: 10286	echo: 10204 -> SACK List: 465001 to 481501; 433501 to 463501; 402001 to 432001; 
10.3045	Seq: 1	ACK: 387001	time: 10287	echo: 10204 -> SACK List: 465001 to 483001; 433501 to 463501; 402001 to 432001; 
10.305	Seq: 1	ACK: 387001	time: 10287	echo: 10204 -> SACK List: 465001 to 484501; 433501 to 463501; 402001 to 432001; 
10.3055	Seq: 1	ACK: 387001	time: 10288	echo: 10204 -> SACK List: 465001 to 486001; 433501 to 463501; 402001 to 432001; 
10.3061	Seq: 1	ACK: 387001	time: 10289	echo: 10204 -> SACK List: 465001 to 487501; 433501 to 463501; 402001 to 432001; 
10.3066	Seq: 1	ACK: 387001	time: 10289	echo: 10204 -> SACK List: 465001 to 489001; 433501 to 463501; 402001 to 432001; 
10.3071	Seq: 1	ACK: 387001	time: 10290	echo: 10204 -> SACK List: 465001 to 490501; 433501 to 463501; 402001 to 432001; 
10.3076	Seq: 1	ACK: 387001	time: 10290	echo: 10204 -> SACK List: 465001 to 492001; 433501 to 463501; 402001 to 432001; 
10.3082	Seq: 1	ACK: 387001	time: 10291	echo: 10204 -> SACK List: 465001 to 493501; 433501 to 463501; 402001 to 432001; 
10.3087	Seq: 1	ACK: 387001	time: 10291	echo: 10204 -> SACK List: 465001 to 495001; 433501 to 463501; 402001 to 432001; 
10.3092	Seq: 1	ACK: 387001	time: 10292	echo: 10204 -> SACK List: 496501 to 498001; 465001 to 495001; 433501 to 463501; 
10.3097	Seq: 1	ACK: 387001	time: 10292	echo: 10204 -> SACK List: 496501 to 499501; 465001 to 495001; 433501 to 463501; 
10.3103	Seq: 1	ACK: 387001	time: 10293	echo: 10204 -> SACK List: 496501 to 501001; 465001 to 495001; 433501 to 463501; 
10.3108	Seq: 1	ACK: 387001	time: 10293	echo: 10204 -> SACK List: 496501 to 502501; 465001 to 495001; 433501 to 463501; 
10.3113	Seq: 1	ACK: 387001	time: 10294	echo: 10204 -> SACK List: 496501 to 504001; 465001 to 495001; 433501 to 463501; 
10.3123	Seq: 1	ACK: 387001	time: 10295	echo: 10204 -> SACK List: 505501 to 507001; 496501 to 504001; 465001 to 495001; 
10.3129	Seq: 1	ACK: 387001	time: 10295	echo: 10204 -> SACK List: 505501 to 508501; 496501 to 504001; 465001 to 495001; 
10.3134	Seq: 1	ACK: 387001	time: 10296	echo: 10204 -> SACK List: 505501 to 510001; 496501 to 504001; 465001 to 495001; 
10.3139	Seq: 1	ACK: 387001	time: 10296	echo: 10204 -> SACK List: 505501 to 511501; 496501 to 504001; 465001 to 495001; 
10.3144	Seq: 1	ACK: 387001	time: 10297	echo: 10204 -> SACK List: 505501 to 513001; 496501 to 504001; 465001 to 495001; 
10.315	Seq: 1	ACK: 387001	time: 10297	echo: 10204 -> SACK List: 505501 to 514501; 496501 to 504001; 465001 to 495001; 
10.3155	Seq: 1	ACK: 387001	time: 10298	echo: 10204 -> SACK List: 505501 to 516001; 496501 to 504001; 465001 to 495001; 
10.316	Seq: 1	ACK: 387001	time: 10298	echo: 10204 -> SACK List: 505501 to 517501; 496501 to 504001; 465001 to 495001; 
10.3165	Seq: 1	ACK: 387001	time: 10299	echo: 10204 -> SACK List: 505501 to 519001; 496501 to 504001; 465001 to 495001; 
10.3171	Seq: 1	ACK: 387001	time: 10300	echo: 10204 -> SACK List: 505501 to 520501; 496501 to 504001; 465001 to 495001; 
10.3176	Seq: 1	ACK: 387001	time: 10300	echo: 10204 -> SACK List: 505501 to 522001; 496501 to 504001; 465001 to 495001; 
10.3181	Seq: 1	ACK: 387001	time: 10301	echo: 10204 -> SACK List: 505501 to 523501; 496501 to 504001; 465001 to 495001; 
10.3186	Seq: 1	ACK: 387001	time: 10301	echo: 10204 -> SACK List: 505501 to 525001; 496501 to 504001; 465001 to 495001; 
10.3192	Seq: 1	ACK: 387001	time: 10302	echo: 10204 -> SACK List: 505501 to 526501; 496501 to 504001; 465001 to 495001; 
10.3197	Seq: 1	ACK: 387001	time: 10302	echo: 10204 -> SACK List: 528001 to 529501; 505501 to 526501; 496501 to 504001; 
10.3202	Seq: 1	ACK: 387001	time: 10303	echo: 10204 -> SACK List: 528001 to 531001; 505501 to 526501; 496501 to 504001; 
10.3207	Seq: 1	ACK: 387001	time: 10303	echo: 10204 -> SACK List: 528001 to 532501; 505501 to 526501; 496501 to 504001; 
